"","PCONCODE","CON_2017","LAB_2017","LD_2017","UKP_2017","GREEN_2017","SNP_2017","WINNER_2017","SECOND_2017","MAJ_2017"
"1","W07000049",5901,22662,599,1345,0,0,"Lab","Con",16761
"2","W07000058",14337,13702,941,0,0,0,"Con","Lab",635
"3","S14000001",8341,11031,1693,0,0,15170,"SNP","Lab",4139
"4","S14000002",18746,9143,2610,0,0,13994,"Con","SNP",4752
"5","S14000003",8813,14096,802,0,0,14291,"SNP","Lab",195
"6","E14000530",26950,15477,3637,1796,1090,0,"Con","Lab",11473
"7","E14000531",26317,12010,1343,0,0,0,"Con","Lab",14307
"8","E14000532",26933,20507,4051,0,1000,0,"Con","Lab",6426
"9","W07000043",18080,23315,1077,1117,0,0,"Lab","Con",5235
"10","E14000533",25905,17605,1100,0,650,0,"Con","Lab",8300
"11","S14000004",18148,5233,1308,0,0,15503,"Con","SNP",2645
"12","W07000057",4614,11427,648,0,0,0,"PC","Lab",92
"13","S14000005",15976,6044,8745,0,0,17304,"SNP","Con",1328
"14","E14000534",37573,13690,4783,1668,2542,0,"Con","Lab",23883
"15","E14000535",20844,21285,969,1885,398,0,"Lab","Con",441
"16","E14000536",35318,17840,3101,2218,1402,0,"Con","Lab",17478
"17","E14000537",12710,24005,646,1878,534,0,"Lab","Con",11295
"18","E14000538",32313,17657,5660,1296,1237,0,"Con","Lab",14656
"19","S14000006",18550,11024,872,0,0,15776,"Con","SNP",2774
"20","E14000539",33388,20989,3452,1581,1225,0,"Con","Lab",12399
"21","S14000007",19976,3936,1448,0,0,16283,"Con","SNP",3693
"22","E14000540",10711,32319,599,3031,724,0,"Lab","Con",21608
"23","E14000541",9436,24982,549,3339,570,0,"Lab","Con",15546
"24","E14000542",10997,24280,750,3247,0,0,"Lab","Con",13283
"25","E14000543",22383,22592,1278,962,375,0,"Lab","Con",209
"26","E14000544",27381,13981,1548,2008,0,0,"Con","Lab",13400
"27","E14000545",29510,20044,3406,1681,1106,0,"Con","Lab",9466
"28","E14000546",22615,27467,1154,0,0,0,"Lab","Con",4852
"29","E14000547",17742,7279,23436,0,1126,0,"LD","Con",5694
"30","E14000548",20883,29844,1224,0,695,0,"Lab","Con",8961
"31","E14000549",22876,25292,4401,357,866,0,"Lab","Con",2416
"32","E14000550",36559,12016,4448,1609,1396,0,"Con","Lab",24543
"33","E14000551",30632,15545,4073,0,1380,0,"Con","Lab",15087
"34","E14000552",21923,22712,2837,0,1008,0,"Lab","Con",789
"35","E14000553",7581,31161,18189,838,639,0,"Lab","LD",12972
"36","S14000008",28213,4519,2482,0,0,17153,"Con","SNP",11060
"37","E14000554",22145,10364,8916,0,787,0,"Con","Lab",11781
"38","E14000555",7576,42969,2982,894,1516,0,"Lab","Con",35393
"39","E14000556",32499,18457,2808,0,716,0,"Con","Lab",14042
"40","E14000557",36854,14689,4485,2006,1438,0,"Con","Lab",22165
"41","E14000558",25113,16040,1201,1944,601,0,"Con","Lab",9073
"42","E14000559",8044,33558,1118,0,943,0,"Lab","Con",25514
"43","E14000560",17207,24124,1564,0,562,0,"Lab","Con",6917
"44","E14000561",14286,21571,750,0,610,0,"Lab","Con",7285
"45","E14000562",8199,42143,3137,0,831,0,"Lab","Con",33944
"46","E14000563",6580,37606,805,1016,387,0,"Lab","Con",31026
"47","E14000564",5452,34166,1156,0,533,0,"Lab","Con",28714
"48","E14000565",18929,23596,959,0,864,0,"Lab","Con",4667
"49","E14000566",11726,30109,1080,0,591,0,"Lab","Con",18383
"50","E14000567",15629,30836,1644,0,876,0,"Lab","Con",15207
"51","E14000568",8824,25398,7984,1916,280,0,"Lab","Con",16574
"52","E14000569",20306,20808,1176,0,0,0,"Lab","Con",502
"53","E14000570",12780,33148,709,0,0,0,"Lab","Con",20368
"54","E14000571",8657,28258,737,1825,462,0,"Lab","Con",19601
"55","E14000572",20255,18232,747,1392,381,0,"Con","Lab",2023
"56","E14000573",15058,17581,634,1339,341,0,"Lab","Con",2523
"57","W07000072",4783,18787,295,973,0,0,"Lab","PC",11907
"58","E14000574",13502,26979,4366,2459,583,0,"Lab","Con",13477
"59","E14000575",15855,23770,1947,0,918,0,"Lab","Con",7915
"60","E14000576",30276,12782,3352,1861,993,0,"Con","Lab",17494
"61","E14000577",18865,24153,1372,2129,0,0,"Lab","Con",5288
"62","E14000578",19073,22870,1316,1567,357,0,"Lab","Con",3797
"63","E14000579",12550,25676,781,2779,537,0,"Lab","Con",13126
"64","E14000580",24459,23523,1485,1587,0,0,"Con","Lab",936
"65","E14000581",6059,42259,837,0,709,0,"Lab","Con",36200
"66","E14000582",27271,10699,771,3308,547,0,"Con","Lab",16572
"67","E14000583",31864,13513,9744,0,1047,0,"Con","Lab",18351
"68","E14000584",25221,17284,3168,1405,1236,0,"Con","Lab",7937
"69","E14000585",23812,16101,2929,0,1247,0,"Con","Lab",7711
"70","E14000586",32882,16866,4186,1521,0,0,"Con","Lab",16016
"71","E14000587",9291,29831,843,1372,289,0,"Lab","Con",20540
"72","E14000588",15664,22364,516,1758,370,0,"Lab","Con",6700
"73","E14000589",7542,29444,712,885,481,0,"Lab","Con",21902
"74","E14000590",32873,14451,2251,1835,916,0,"Con","Lab",18422
"75","W07000068",20081,7335,12043,576,0,0,"Con","LD",8038
"76","E14000591",10211,38208,2519,556,802,0,"Lab","Con",27997
"77","E14000593",23182,35364,3083,0,0,0,"Lab","Con",12182
"78","E14000592",18435,35496,1614,0,660,0,"Lab","Con",17061
"79","E14000594",34811,10809,4426,1845,915,0,"Con","Lab",24002
"80","W07000073",17213,21913,919,781,0,0,"Lab","Con",4700
"81","E14000595",32111,16663,6332,2102,1059,0,"Con","Lab",15448
"82","E14000596",27219,14856,836,1596,550,0,"Con","Lab",12363
"83","E14000597",18835,28703,1457,0,0,0,"Lab","Con",9868
"84","E14000598",11082,15450,0,630,30149,0,"Green","Lab",14699
"85","E14000599",17453,30847,1389,0,1110,0,"Lab","Con",13394
"86","E14000600",22639,27400,2814,0,1243,0,"Lab","Con",4761
"87","E14000601",16679,32666,1821,1672,1428,0,"Lab","Con",15987
"88","E14000602",9877,47213,5201,0,9216,0,"Lab","Con",37336
"89","E14000603",32406,16590,4449,1594,932,0,"Con","Lab",15816
"90","E14000604",25175,15585,3369,1383,1150,0,"Con","Lab",9590
"91","E14000605",33493,16920,2488,0,1139,0,"Con","Lab",16573
"92","E14000606",29515,13723,1481,1918,848,0,"Con","Lab",15792
"93","E14000607",25983,25120,2247,1477,681,0,"Con","Lab",863
"94","E14000608",0,0,0,4168,8574,0,"Spk","Green",25725
"95","E14000609",12479,18832,6046,2472,461,0,"Lab","Con",6353
"96","E14000610",28936,18889,1262,0,824,0,"Con","Lab",10047
"97","E14000611",21308,25683,912,0,0,0,"Lab","Con",4375
"98","E14000612",21200,27165,1065,1316,0,0,"Lab","Con",5965
"99","E14000613",36794,18353,3565,0,2596,0,"Con","Lab",18441
"100","W07000076",10413,22491,725,1259,447,0,"Lab","Con",12078
"101","S14000009",6990,3833,11061,0,0,9017,"LD","SNP",2044
"102","E14000614",26790,26181,1952,1466,631,0,"Con","Lab",609
"103","E14000615",7349,44665,3413,0,1627,0,"Lab","Con",37316
"104","E14000616",23001,21424,2979,0,1052,0,"Con","Lab",1577
"105","E14000617",9133,29032,16371,0,1265,0,"Lab","LD",12661
"106","E14000618",26318,17927,794,2018,815,0,"Con","Lab",8391
"107","E14000619",25385,25572,4561,0,1282,0,"Lab","Con",187
"108","W07000050",7997,25193,5415,343,420,0,"Lab","Con",17196
"109","W07000051",21907,26081,1714,582,0,0,"Lab","Con",4174
"110","W07000080",15318,30182,1430,942,532,0,"Lab","Con",14864
"111","W07000079",13874,26425,1214,698,0,0,"Lab","Con",12551
"112","E14000620",21472,18873,1256,1455,0,0,"Con","Lab",2599
"113","W07000067",10778,12219,920,985,0,0,"PC","Lab",3908
"114","W07000066",19771,16661,956,905,0,0,"Con","Lab",3110
"115","E14000621",19450,9360,20819,0,501,0,"LD","Con",1369
"116","E14000622",30076,11204,1049,2381,0,0,"Con","Lab",18872
"117","S14000010",15504,11762,1050,0,0,16771,"SNP","Con",1267
"118","E14000623",31278,15598,6770,1326,1531,0,"Con","Lab",15680
"119","E14000624",33992,16807,2431,1635,1659,0,"Con","Lab",17185
"120","W07000064",7307,8017,11519,602,542,0,"PC","LD",104
"121","E14000625",33318,16977,2052,1471,1036,0,"Con","Lab",16341
"122","E14000626",25587,15129,1116,2225,573,0,"Con","Lab",10458
"123","E14000627",24331,10417,19824,0,0,0,"Con","LD",4507
"124","E14000628",30525,16953,6916,1645,821,0,"Con","Lab",13572
"125","E14000629",22179,13991,4627,524,807,0,"Con","Lab",8188
"126","E14000630",26615,5408,24046,0,943,0,"Con","LD",2569
"127","E14000631",33514,11374,7179,1525,1660,0,"Con","Lab",22140
"128","E14000632",16661,26266,2612,1611,777,0,"Lab","Con",9605
"129","E14000633",36032,13411,6749,1650,1992,0,"Con","Lab",22621
"130","E14000634",23076,20638,2043,0,1204,0,"Con","Lab",2438
"131","E14000635",31267,11236,14637,0,0,0,"Con","LD",16630
"132","E14000636",25679,25326,3012,0,1406,0,"Con","Lab",353
"133","E14000637",23233,30745,1126,0,530,0,"Lab","Con",7512
"134","E14000638",35230,10059,4020,0,1325,0,"Con","Lab",25171
"135","E14000639",18005,14857,4270,426,821,0,"Con","Lab",3148
"136","E14000640",22847,32023,1551,0,0,0,"Lab","Con",9176
"137","E14000641",14408,26772,4787,1116,797,0,"Lab","Con",12364
"138","E14000642",27031,11203,887,3357,719,0,"Con","Lab",15828
"139","E14000643",27321,16921,1110,2022,470,0,"Con","Lab",10400
"140","W07000062",14646,19002,731,802,0,0,"Lab","Con",4356
"141","W07000059",19541,16104,1091,0,0,0,"Con","Lab",3437
"142","S14000011",7318,19193,922,0,0,17607,"Lab","SNP",1586
"143","E14000644",24565,18888,9087,0,828,0,"Con","Lab",5677
"144","E14000645",27903,28818,2494,0,892,0,"Lab","Con",915
"145","E14000646",31830,19211,2902,1289,999,0,"Con","Lab",12619
"146","E14000647",21062,19367,1404,1094,0,0,"Con","Lab",1695
"147","E14000648",29534,26844,1545,1495,579,0,"Con","Lab",2690
"148","E14000649",13919,29499,1157,1350,502,0,"Lab","Con",15580
"149","E14000650",18314,26894,1286,1525,666,0,"Lab","Con",8580
"150","E14000651",17927,25874,1343,1037,604,0,"Lab","Con",7947
"151","E14000652",25426,22969,1878,0,0,0,"Con","Lab",2457
"152","E14000653",25880,25928,1334,1885,0,0,"Lab","Con",48
"153","E14000654",24221,29873,1083,1040,626,0,"Lab","Con",5652
"154","E14000655",11848,44213,1656,753,983,0,"Lab","Con",32365
"155","E14000656",33334,21928,3541,1116,1125,0,"Con","Lab",11406
"156","S14000012",8010,14858,1238,605,0,19122,"SNP","Lab",4264
"157","W07000070",6166,19404,585,1271,0,0,"Lab","Con",13238
"158","E14000657",18306,22958,465,3246,544,0,"Lab","Con",4652
"159","E14000658",19401,22681,1031,1180,524,0,"Lab","Con",3280
"160","E14000659",31210,18024,1428,2544,807,0,"Con","Lab",13186
"161","E14000660",35464,13730,4015,1497,957,0,"Con","Lab",21734
"162","W07000042",16333,20573,1031,0,0,0,"Lab","Con",4240
"163","E14000661",11084,25161,853,1798,486,0,"Lab","Con",14077
"164","E14000662",21607,23622,2262,1181,0,0,"Lab","Con",2015
"165","E14000664",29744,15417,3126,0,1002,0,"Con","Lab",14327
